instant,dteday,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,month
1,2011-01-01,Springer,2011,1,0,Saturday,0,Mist,0.344167,0.363625,0.805833,0.160446,331.0,654,985,January
2,2011-01-02,Springer,2011,1,0,Sunday,0,Mist,0.363478,0.353739,0.696087,0.248539,131.0,670,801,January
3,2011-01-03,Springer,2011,1,0,Monday,1,Clear,0.196364,0.189405,0.437273,0.248309,120.0,1229,1349,January
4,2011-01-04,Springer,2011,1,0,Tuesday,1,Clear,0.2,0.212122,0.590435,0.160296,108.0,1454,1562,January
5,2011-01-05,Springer,2011,1,0,Wednesday,1,Clear,0.226957,0.22927,0.436957,0.1869,82.0,1518,1600,January
6,2011-01-06,Springer,2011,1,0,Thursday,1,Clear,0.204348,0.233209,0.518261,0.0895652,88.0,1518,1606,January
7,2011-01-07,Springer,2011,1,0,Friday,1,Mist,0.196522,0.208839,0.498696,0.168726,148.0,1362,1510,January
8,2011-01-08,Springer,2011,1,0,Saturday,0,Mist,0.165,0.162254,0.535833,0.266804,68.0,891,959,January
9,2011-01-09,Springer,2011,1,0,Sunday,0,Clear,0.138333,0.116175,0.434167,0.36195,54.0,768,822,January
10,2011-01-10,Springer,2011,1,0,Monday,1,Clear,0.150833,0.150888,0.482917,0.223267,41.0,1280,1321,January
11,2011-01-11,Springer,2011,1,0,Tuesday,1,Mist,0.169091,0.191464,0.686364,0.122132,43.0,1220,1263,January
12,2011-01-12,Springer,2011,1,0,Wednesday,1,Clear,0.172727,0.160473,0.599545,0.304627,25.0,1137,1162,January
13,2011-01-13,Springer,2011,1,0,Thursday,1,Clear,0.165,0.150883,0.470417,0.301,38.0,1368,1406,January
14,2011-01-14,Springer,2011,1,0,Friday,1,Clear,0.16087,0.188413,0.537826,0.126548,54.0,1367,1421,January
15,2011-01-15,Springer,2011,1,0,Saturday,0,Mist,0.233333,0.248112,0.49875,0.157963,222.0,1026,1248,January
16,2011-01-16,Springer,2011,1,0,Sunday,0,Clear,0.231667,0.234217,0.48375,0.188433,251.0,953,1204,January
17,2011-01-17,Springer,2011,1,1,Monday,0,Mist,0.175833,0.176771,0.5375,0.194017,117.0,883,1000,January
18,2011-01-18,Springer,2011,1,0,Tuesday,1,Mist,0.216667,0.232333,0.861667,0.146775,9.0,674,683,January
19,2011-01-19,Springer,2011,1,0,Wednesday,1,Mist,0.292174,0.298422,0.741739,0.208317,78.0,1572,1650,January
20,2011-01-20,Springer,2011,1,0,Thursday,1,Mist,0.261667,0.25505,0.538333,0.195904,83.0,1844,1927,January
21,2011-01-21,Springer,2011,1,0,Friday,1,Clear,0.1775,0.157833,0.457083,0.353242,75.0,1468,1543,January
22,2011-01-22,Springer,2011,1,0,Saturday,0,Clear,0.0591304,0.0790696,0.4,0.17197,93.0,888,981,January
23,2011-01-23,Springer,2011,1,0,Sunday,0,Clear,0.0965217,0.0988391,0.436522,0.2466,150.0,836,986,January
24,2011-01-24,Springer,2011,1,0,Monday,1,Clear,0.0973913,0.11793,0.491739,0.15833,86.0,1330,1416,January
25,2011-01-25,Springer,2011,1,0,Tuesday,1,Mist,0.223478,0.234526,0.616957,0.129796,186.0,1799,1985,January
26,2011-01-26,Springer,2011,1,0,Wednesday,1,Light Snow,0.2175,0.2036,0.8625,0.29385,34.0,472,506,January
27,2011-01-27,Springer,2011,1,0,Thursday,1,Clear,0.195,0.2197,0.6875,0.113837,15.0,416,431,January
28,2011-01-28,Springer,2011,1,0,Friday,1,Mist,0.203478,0.223317,0.793043,0.1233,38.0,1129,1167,January
29,2011-01-29,Springer,2011,1,0,Saturday,0,Clear,0.196522,0.212126,0.651739,0.145365,123.0,975,1098,January
30,2011-01-30,Springer,2011,1,0,Sunday,0,Clear,0.216522,0.250322,0.722174,0.0739826,140.0,956,1096,January
31,2011-01-31,Springer,2011,1,0,Monday,1,Mist,0.180833,0.18625,0.60375,0.187192,42.0,1459,1501,January
32,2011-02-01,Springer,2011,2,0,Tuesday,1,Mist,0.192174,0.23453,0.829565,0.053213,47.0,1313,1360,February
33,2011-02-02,Springer,2011,2,0,Wednesday,1,Mist,0.26,0.254417,0.775417,0.264308,72.0,1454,1526,February
34,2011-02-03,Springer,2011,2,0,Thursday,1,Clear,0.186957,0.177878,0.437826,0.277752,61.0,1489,1550,February
35,2011-02-04,Springer,2011,2,0,Friday,1,Mist,0.211304,0.228587,0.585217,0.127839,88.0,1620,1708,February
36,2011-02-05,Springer,2011,2,0,Saturday,0,Mist,0.233333,0.243058,0.929167,0.161079,100.0,905,1005,February
37,2011-02-06,Springer,2011,2,0,Sunday,0,Clear,0.285833,0.291671,0.568333,0.1418,354.0,1269,1623,February
38,2011-02-07,Springer,2011,2,0,Monday,1,Clear,0.271667,0.303658,0.738333,0.0454083,120.0,1592,1712,February
39,2011-02-08,Springer,2011,2,0,Tuesday,1,Clear,0.220833,0.198246,0.537917,0.36195,64.0,1466,1530,February
40,2011-02-09,Springer,2011,2,0,Wednesday,1,Mist,0.134783,0.144283,0.494783,0.188839,53.0,1552,1605,February
41,2011-02-10,Springer,2011,2,0,Thursday,1,Clear,0.144348,0.149548,0.437391,0.221935,47.0,1491,1538,February
42,2011-02-11,Springer,2011,2,0,Friday,1,Clear,0.189091,0.213509,0.506364,0.10855,149.0,1597,1746,February
43,2011-02-12,Springer,2011,2,0,Saturday,0,Clear,0.2225,0.232954,0.544167,0.203367,288.0,1184,1472,February
44,2011-02-13,Springer,2011,2,0,Sunday,0,Clear,0.316522,0.324113,0.457391,0.260883,397.0,1192,1589,February
45,2011-02-14,Springer,2011,2,0,Monday,1,Clear,0.415,0.39835,0.375833,0.180975,208.0,1705,1913,February
46,2011-02-15,Springer,2011,2,0,Tuesday,1,Clear,0.266087,0.254274,0.314348,0.291374,140.0,1675,1815,February
47,2011-02-16,Springer,2011,2,0,Wednesday,1,Clear,0.318261,0.3162,0.423478,0.251791,218.0,1897,2115,February
48,2011-02-17,Springer,2011,2,0,Thursday,1,Clear,0.435833,0.428658,0.505,0.230104,259.0,2216,2475,February
49,2011-02-18,Springer,2011,2,0,Friday,1,Clear,0.521667,0.511983,0.516667,0.264925,579.0,2348,2927,February
50,2011-02-19,Springer,2011,2,0,Saturday,0,Clear,0.399167,0.391404,0.626667,0.180975,532.0,1103,1635,February
51,2011-02-20,Springer,2011,2,0,Sunday,0,Clear,0.285217,0.27733,0.407826,0.223235,639.0,1173,1812,February
52,2011-02-21,Springer,2011,2,1,Monday,0,Mist,0.303333,0.284075,0.605,0.307846,195.0,912,1107,February
53,2011-02-22,Springer,2011,2,0,Tuesday,1,Clear,0.182222,0.186033,0.577778,0.195683,74.0,1376,1450,February
54,2011-02-23,Springer,2011,2,0,Wednesday,1,Clear,0.221739,0.245717,0.423043,0.094113,139.0,1778,1917,February
55,2011-02-24,Springer,2011,2,0,Thursday,1,Mist,0.295652,0.289191,0.697391,0.250496,100.0,1707,1807,February
56,2011-02-25,Springer,2011,2,0,Friday,1,Mist,0.364348,0.350461,0.712174,0.346539,120.0,1341,1461,February
57,2011-02-26,Springer,2011,2,0,Saturday,0,Clear,0.2825,0.282192,0.537917,0.186571,424.0,1545,1969,February
58,2011-02-27,Springer,2011,2,0,Sunday,0,Clear,0.343478,0.351109,0.68,0.125248,694.0,1708,2402,February
