instant,dteday,season,yr,mnth,hr,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,casual,registered,cnt,month
1,2011-01-01,Springer,2011,1,0,0,Saturday,0,Clear,0.24,0.2879,0.81,0.0,3.0,13,16,January
2,2011-01-01,Springer,2011,1,1,0,Saturday,0,Clear,0.22,0.2727,0.8,0.0,8.0,32,40,January
3,2011-01-01,Springer,2011,1,2,0,Saturday,0,Clear,0.22,0.2727,0.8,0.0,5.0,27,32,January
4,2011-01-01,Springer,2011,1,3,0,Saturday,0,Clear,0.24,0.2879,0.75,0.0,3.0,10,13,January
5,2011-01-01,Springer,2011,1,4,0,Saturday,0,Clear,0.24,0.2879,0.75,0.0,0.0,1,1,January
6,2011-01-01,Springer,2011,1,5,0,Saturday,0,Mist,0.24,0.2576,0.75,0.0896,0.0,1,1,January
7,2011-01-01,Springer,2011,1,6,0,Saturday,0,Clear,0.22,0.2727,0.8,0.0,2.0,0,2,January
8,2011-01-01,Springer,2011,1,7,0,Saturday,0,Clear,0.2,0.2576,0.86,0.0,1.0,2,3,January
9,2011-01-01,Springer,2011,1,8,0,Saturday,0,Clear,0.24,0.2879,0.75,0.0,1.0,7,8,January
10,2011-01-01,Springer,2011,1,9,0,Saturday,0,Clear,0.32,0.3485,0.76,0.0,8.0,6,14,January
11,2011-01-01,Springer,2011,1,10,0,Saturday,0,Clear,0.38,0.3939,0.76,0.2537,12.0,24,36,January
12,2011-01-01,Springer,2011,1,11,0,Saturday,0,Clear,0.36,0.3333,0.81,0.2836,26.0,30,56,January
13,2011-01-01,Springer,2011,1,12,0,Saturday,0,Clear,0.42,0.4242,0.77,0.2836,29.0,55,84,January
14,2011-01-01,Springer,2011,1,13,0,Saturday,0,Mist,0.46,0.4545,0.72,0.2985,47.0,47,94,January
15,2011-01-01,Springer,2011,1,14,0,Saturday,0,Mist,0.46,0.4545,0.72,0.2836,35.0,71,106,January
16,2011-01-01,Springer,2011,1,15,0,Saturday,0,Mist,0.44,0.4394,0.77,0.2985,40.0,70,110,January
17,2011-01-01,Springer,2011,1,16,0,Saturday,0,Mist,0.42,0.4242,0.82,0.2985,41.0,52,93,January
18,2011-01-01,Springer,2011,1,17,0,Saturday,0,Mist,0.44,0.4394,0.82,0.2836,15.0,52,67,January
19,2011-01-01,Springer,2011,1,18,0,Saturday,0,Light Snow,0.42,0.4242,0.88,0.2537,9.0,26,35,January
20,2011-01-01,Springer,2011,1,19,0,Saturday,0,Light Snow,0.42,0.4242,0.88,0.2537,6.0,31,37,January
21,2011-01-01,Springer,2011,1,20,0,Saturday,0,Mist,0.4,0.4091,0.87,0.2537,11.0,25,36,January
22,2011-01-01,Springer,2011,1,21,0,Saturday,0,Mist,0.4,0.4091,0.87,0.194,3.0,31,34,January
23,2011-01-01,Springer,2011,1,22,0,Saturday,0,Mist,0.4,0.4091,0.94,0.2239,11.0,17,28,January
24,2011-01-01,Springer,2011,1,23,0,Saturday,0,Mist,0.46,0.4545,0.88,0.2985,15.0,24,39,January
25,2011-01-02,Springer,2011,1,0,0,Sunday,0,Mist,0.46,0.4545,0.88,0.2985,4.0,13,17,January
26,2011-01-02,Springer,2011,1,1,0,Sunday,0,Mist,0.44,0.4394,0.94,0.2537,1.0,16,17,January
27,2011-01-02,Springer,2011,1,2,0,Sunday,0,Mist,0.42,0.4242,1.0,0.2836,1.0,8,9,January
28,2011-01-02,Springer,2011,1,3,0,Sunday,0,Mist,0.46,0.4545,0.94,0.194,2.0,4,6,January
29,2011-01-02,Springer,2011,1,4,0,Sunday,0,Mist,0.46,0.4545,0.94,0.194,2.0,1,3,January
30,2011-01-02,Springer,2011,1,6,0,Sunday,0,Light Snow,0.42,0.4242,0.77,0.2985,0.0,2,2,January
31,2011-01-02,Springer,2011,1,7,0,Sunday,0,Mist,0.4,0.4091,0.76,0.194,0.0,1,1,January
32,2011-01-02,Springer,2011,1,8,0,Sunday,0,Light Snow,0.4,0.4091,0.71,0.2239,0.0,8,8,January
33,2011-01-02,Springer,2011,1,9,0,Sunday,0,Mist,0.38,0.3939,0.76,0.2239,1.0,19,20,January
34,2011-01-02,Springer,2011,1,10,0,Sunday,0,Mist,0.36,0.3485,0.81,0.2239,7.0,46,53,January
35,2011-01-02,Springer,2011,1,11,0,Sunday,0,Mist,0.36,0.3333,0.71,0.2537,16.0,54,70,January
36,2011-01-02,Springer,2011,1,12,0,Sunday,0,Mist,0.36,0.3333,0.66,0.2985,20.0,73,93,January
37,2011-01-02,Springer,2011,1,13,0,Sunday,0,Mist,0.36,0.3485,0.66,0.1343,11.0,64,75,January
38,2011-01-02,Springer,2011,1,14,0,Sunday,0,Light Snow,0.36,0.3485,0.76,0.194,4.0,55,59,January
39,2011-01-02,Springer,2011,1,15,0,Sunday,0,Light Snow,0.34,0.3333,0.81,0.1642,19.0,55,74,January
40,2011-01-02,Springer,2011,1,16,0,Sunday,0,Light Snow,0.34,0.3333,0.71,0.1642,9.0,67,76,January
41,2011-01-02,Springer,2011,1,17,0,Sunday,0,Clear,0.34,0.3333,0.57,0.194,7.0,58,65,January
42,2011-01-02,Springer,2011,1,18,0,Sunday,0,Mist,0.36,0.3333,0.46,0.3284,10.0,43,53,January
43,2011-01-02,Springer,2011,1,19,0,Sunday,0,Clear,0.32,0.2879,0.42,0.4478,1.0,29,30,January
44,2011-01-02,Springer,2011,1,20,0,Sunday,0,Clear,0.3,0.2727,0.39,0.3582,5.0,17,22,January
45,2011-01-02,Springer,2011,1,21,0,Sunday,0,Clear,0.26,0.2273,0.44,0.3284,11.0,20,31,January
46,2011-01-02,Springer,2011,1,22,0,Sunday,0,Clear,0.24,0.2121,0.44,0.2985,0.0,9,9,January
47,2011-01-02,Springer,2011,1,23,0,Sunday,0,Clear,0.22,0.2273,0.47,0.1642,0.0,8,8,January
48,2011-01-03,Springer,2011,1,0,0,Monday,1,Clear,0.22,0.197,0.44,0.3582,0.0,5,5,January
49,2011-01-03,Springer,2011,1,1,0,Monday,1,Clear,0.2,0.1667,0.44,0.4179,0.0,2,2,January
50,2011-01-03,Springer,2011,1,4,0,Monday,1,Clear,0.16,0.1364,0.47,0.3881,0.0,1,1,January
51,2011-01-03,Springer,2011,1,5,0,Monday,1,Clear,0.16,0.1364,0.47,0.2836,0.0,3,3,January
52,2011-01-03,Springer,2011,1,6,0,Monday,1,Clear,0.14,0.1061,0.5,0.3881,0.0,30,30,January
53,2011-01-03,Springer,2011,1,7,0,Monday,1,Clear,0.14,0.1364,0.5,0.194,1.0,63,64,January
54,2011-01-03,Springer,2011,1,8,0,Monday,1,Clear,0.14,0.1212,0.5,0.2836,1.0,153,154,January
55,2011-01-03,Springer,2011,1,9,0,Monday,1,Clear,0.16,0.1364,0.43,0.3881,7.0,81,88,January
56,2011-01-03,Springer,2011,1,10,0,Monday,1,Clear,0.18,0.1667,0.43,0.2537,11.0,33,44,January
57,2011-01-03,Springer,2011,1,11,0,Monday,1,Clear,0.2,0.1818,0.4,0.3284,10.0,41,51,January
58,2011-01-03,Springer,2011,1,12,0,Monday,1,Clear,0.22,0.2121,0.35,0.2985,13.0,48,61,January
59,2011-01-03,Springer,2011,1,13,0,Monday,1,Clear,0.24,0.2121,0.35,0.2836,8.0,53,61,January
60,2011-01-03,Springer,2011,1,14,0,Monday,1,Clear,0.26,0.2424,0.3,0.2836,11.0,66,77,January
61,2011-01-03,Springer,2011,1,15,0,Monday,1,Clear,0.26,0.2424,0.3,0.2537,14.0,58,72,January
62,2011-01-03,Springer,2011,1,16,0,Monday,1,Clear,0.26,0.2424,0.3,0.2537,9.0,67,76,January
63,2011-01-03,Springer,2011,1,17,0,Monday,1,Clear,0.24,0.2273,0.3,0.2239,11.0,146,157,January
